Country,Year,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Turkey,2016,-0.94,-0.011,14.734,1.194,20.119,1.63,0.596,0.072,491.395,10.701,43.234,5520.408,447.26,1138.863,92.27,20.834,31.0,2219.19,179.797,33.713,26.794,278.57,273.69,18.035,5.048,80.218,20602.953,0.935,4.687,63.856,2264.272,183.45,17602.41,1426.137,67.028,85.436,-3.165,-14.544,445.046,1101.341,89.23,5493.079,-3.675,-0.149,48.205,3.906,32.603,26.662,134.49,0.127,-0.842,179.98,829.801,67.23,2221.439,24.564,10.782,7.748,16.362,243.102,1113.807,90.24,3000.543,32.972,14.564,4.88,1.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.052,35.167,533.831,24.068,1.95,6588.923,2.316,0.719,391.957,31.756,0.712,31.98,17.597,6.45,4.82,38.317,4.785,79.611,59.492,217.189,2.357,1.761,1.054,3378.08,1669.239,7.748,16.362,243.102,1113.807,90.24,3000.543,32.972,14.564,437.348,2.27,2.792,12.836,1.04,34.466,0.38,0.167,33.166,10.16,41.54,191.559,15.52,512.715,5.671,2.489
United Arab Emirates,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.257,7.343,1.464,2379.949,21.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.24,129.61,10.159,3.952,48.524,141902.906,1.792,3.952,48.487,14374.713,129.29,141808.859,1275.467,99.753,0.0,0.644,4.604,719.31,14374.713,129.29,79974.242,1.574,9.221,66176.406,595.208,99.753,0.0,87.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.578,0.32,0.0,0.247,0.0,0.63,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.616,42.419,534.751,0.0,0.0,59454.656,3.721,75.767,234826.266,2112.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14410.292,1276.312,0.0,0.0,0.0,35.578,0.32,0.0,0.247,0.0,5.65,0.04,0.846,35.578,0.32,94.054,0.247,0.0,-100.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2016,1.332,0.144,166.974,10.963,457.999,30.07,8.865,0.489,333.451,-49.095,-136.151,2150.207,141.172,467.137,30.67,-46.691,-27.774,483.005,31.712,9.042,6.292,356.93,339.18,17.162,-1.658,-37.814,34171.621,0.905,-2.11,-39.019,2809.221,184.44,27577.928,1810.635,54.378,80.704,10.9,78.528,798.983,2180.025,143.13,12169.379,2.649,10.77,6357.18,417.382,42.199,35.613,113.1,-14.716,-2.581,14.377,81.791,5.37,218.981,1.583,0.641,0.708,1.205,432.91,2356.858,154.74,6593.691,45.622,19.296,17.75,4.973,1.963,2.472,184.255,1092.526,71.73,2806.408,21.148,8.213,2.184,18.603,870.479,162.059,10.64,13258.344,4.763,25.084,8404.215,551.78,3.137,38.799,95.975,30.07,0.0,2.757,2.575,457.999,0.0,1461.808,8.865,0.0,4.278,5166.08,2243.545,-0.23,-1.267,248.655,1264.332,83.01,3787.284,24.474,11.083,38.167,7.577,27.862,158.556,10.41,424.375,3.069,1.242,-7.735,-8.982,99.477,565.987,37.16,1515.145,10.956,4.434
United States,2016,8.488,32.017,1250.661,409.229,191.803,62.76,1.535,1.591,454.496,-8.508,-368.337,12104.576,3960.741,3787.015,1239.15,-18.271,-912.933,12479.973,4083.574,30.315,15.395,4154.06,4087.56,17.576,-0.079,-20.375,78625.453,1.494,-1.103,-238.777,8120.04,2656.96,65453.969,21417.207,65.001,83.248,0.742,55.194,7490.989,4212.308,1378.31,22893.508,-1.749,-129.471,22229.016,7273.561,33.72,29.117,1857.78,7.024,42.414,706.105,798.05,261.13,2157.956,6.388,2.745,6.18,218.403,4309.845,4372.113,1430.6,13171.486,34.999,16.752,66.5,1.601,1.068,10.197,2178.659,2462.301,805.69,6658.287,19.711,8.468,0.752,74.364,9965.476,120.718,39.5,30455.883,-4.294,-283.157,19288.914,6311.529,0.966,38.735,253.683,81.92,19.16,-1.211,-3.432,250.359,58.556,775.292,2.004,0.469,0.986,12492.153,25727.051,10.745,208.205,2131.185,1909.812,624.91,6513.199,15.288,8.284,40.567,42.188,148.362,167.69,54.87,453.415,1.342,0.577,19.02,95.018,613.806,693.713,226.99,1875.876,5.553,2.386
Vietnam,2016,0.0,0.0,0.0,0.0,0.752,0.07,0.04,0.0,479.431,8.212,25.056,3545.492,330.179,686.915,63.97,-7.03,-19.076,2708.948,252.275,36.398,36.736,177.08,175.75,22.216,8.749,72.306,9651.152,1.516,7.691,51.896,1195.148,111.3,7802.978,726.664,63.329,80.85,-0.469,-0.482,102.386,489.227,45.56,1099.434,-0.469,-0.482,1099.434,102.386,25.923,11.392,84.26,13.93,20.035,171.172,689.062,64.17,1838.063,36.512,19.045,14.113,20.409,172.114,692.069,64.45,1848.175,36.671,19.15,1.33,0.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.242,27.323,294.098,19.006,1.77,3158.052,-9.657,-19.283,1937.073,180.393,1.007,32.722,0.389,0.122,0.0,74.286,0.166,1.31,0.0,4.182,0.069,0.0,0.043,1887.217,898.778,14.113,20.409,172.114,692.069,64.45,1848.175,36.671,19.15,-20.678,-0.004,0.014,0.107,0.01,0.152,0.006,0.002,66.116,0.212,0.538,2.148,0.2,5.778,0.114,0.06
Australia,2017,-1.175,-0.022,74.589,1.834,144.772,3.56,1.375,0.115,718.076,-3.432,-18.536,21208.572,521.526,6472.868,159.17,-2.519,-89.742,141247.078,3473.313,61.463,32.562,258.97,258.97,16.875,-0.302,-4.857,65133.145,1.337,0.173,2.577,8937.657,219.78,60740.344,1493.625,84.867,93.256,-1.761,-6.683,372.844,2240.311,55.09,15162.218,17.235,162.149,44852.84,1102.946,21.273,23.279,185.96,-23.425,-11.268,35.927,548.996,13.5,1461.008,5.213,2.243,-5.892,-7.434,108.02,1593.715,39.19,4392.792,15.133,6.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864,27.796,599.256,224.478,5.52,24369.559,-9.454,-16.88,6574.389,161.666,2.132,37.415,11.369,3.562,0.0,-1.815,-0.21,144.841,0.0,462.355,1.375,0.0,0.71,10531.373,1601.646,-5.892,-7.434,108.02,1593.715,39.19,4392.792,15.133,6.744,19.863,3.816,23.732,362.744,8.92,965.103,3.444,1.482,1.312,0.25,35.158,537.203,13.21,1429.738,5.101,2.195
Bangladesh,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.158,9.035,2.081,155.241,25.117,6.366,1.03,0.0,0.0,0.0,0.0,1.402,6.235,78.11,73.45,18.336,4.19,16.2,2489.824,0.638,4.077,15.642,445.999,72.16,2467.938,399.297,98.244,99.121,0.536,1.417,265.927,357.244,57.8,1643.613,0.536,1.417,1643.613,265.927,78.693,66.013,49.37,16.379,0.372,2.74,6.366,1.03,16.934,1.402,0.68,19.444,0.559,3.541,7.973,1.29,21.887,1.756,0.879,4.66,5.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.634,12.143,108.254,82.389,13.33,669.083,0.0,0.0,0.0,0.0,18.148,26.873,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.003,453.972,402.839,19.444,0.559,3.541,7.973,1.29,21.887,1.756,0.879,32.552,0.187,0.776,1.545,0.25,4.795,0.34,0.193,0.0,0.0,0.014,0.062,0.01,0.084,0.014,0.003
Brazil,2017,2.173,4.381,988.036,206.01,253.759,52.91,8.978,5.949,155.875,5.469,10.125,936.547,195.275,109.59,22.85,-18.682,-5.819,121.478,25.329,3.877,5.639,625.67,589.32,22.369,0.898,30.828,16608.686,1.17,1.539,29.492,511.067,106.56,9332.207,1945.812,18.082,56.189,1.467,5.441,376.32,314.573,65.59,1804.85,12.676,30.578,1303.634,271.814,11.13,10.867,91.86,-2.626,-32.623,987.09,1778.903,370.91,4734.131,62.939,28.504,0.799,1.336,1517.182,2315.341,482.76,7276.478,81.918,43.811,36.35,5.81,-0.789,-0.559,40.194,75.49,15.74,192.773,2.671,1.161,1.024,13.925,1374.216,86.904,18.12,6590.809,4.341,69.021,7956.282,1658.924,3.075,39.683,168.906,52.912,0.0,3.073,5.035,253.769,0.0,810.083,8.979,0.0,4.877,2826.408,3462.993,0.837,1.895,1476.988,2239.851,467.02,7083.705,79.247,42.651,875.613,1.985,2.214,3.981,0.83,10.617,0.141,0.064,26.529,23.117,112.768,203.209,42.37,540.839,7.19,3.256
Canada,2017,17.931,3.597,647.132,23.655,305.025,11.15,1.665,0.586,172.011,3.737,7.983,6062.338,221.605,1718.264,62.81,-2.907,-11.066,10109.271,369.538,9.38,5.488,607.37,669.61,21.3,1.36,54.184,110470.539,2.475,1.378,35.054,3506.834,128.19,70540.469,2578.561,19.144,63.855,3.788,40.012,1096.391,1681.332,61.46,29993.445,3.776,62.322,46853.109,1712.685,9.178,27.151,115.18,2.375,18.295,1050.112,10794.613,394.59,28727.408,58.928,26.005,2.268,19.13,1459.618,14811.372,541.42,39930.078,80.856,36.145,-62.24,-10.247,-0.128,-1.851,256.895,2752.067,100.6,7027.762,15.024,6.362,-1.016,-12.941,1260.565,107.238,3.92,34484.688,8.124,206.769,75283.406,2751.936,0.585,31.216,35.578,11.145,0.0,-1.887,-0.684,304.895,0.0,973.285,1.664,0.0,0.881,18318.207,4038.178,2.802,20.981,1202.723,12059.306,440.82,32902.316,65.832,29.784,-11.373,-1.284,9.511,97.663,3.57,260.181,0.533,0.236,1.877,1.058,83.867,862.004,31.51,2294.307,4.706,2.077
China,2017,-6.755,-1.879,18.391,25.936,56.443,79.6,1.205,0.071,644.167,1.106,239.664,15539.826,21915.443,3141.25,4430.03,3.329,654.877,14412.859,20326.109,67.077,59.798,6591.39,6604.44,19.743,3.888,1371.672,25987.383,1.754,2.999,917.369,3325.079,4689.28,22343.951,31511.137,71.002,85.98,15.189,318.111,2412.522,144.085,203.2,1710.673,8.161,112.579,1057.945,1491.995,3.077,6.583,4254.36,1.023,13.236,3100.576,826.122,1165.06,2198.56,17.641,8.46,10.053,454.303,5138.246,1358.004,1915.16,3643.433,28.998,14.02,-13.05,-0.198,16.381,85.96,633.589,175.923,248.1,449.266,3.757,1.729,5.27,359.594,7183.172,39.744,56.05,5093.451,-4.096,-95.122,1579.276,2227.215,0.849,19.6,254.016,79.599,0.0,28.107,55.746,56.442,0.0,180.118,1.205,0.0,0.693,4683.083,36649.383,9.183,368.342,4504.657,1182.081,1667.06,3194.167,25.242,12.291,77.068,135.402,313.5,83.53,117.8,222.297,1.784,0.855,26.463,165.836,810.629,215.986,304.6,574.802,4.612,2.212
Egypt,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.69,-1.54,-0.218,137.065,13.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.303,192.87,193.21,18.489,3.93,40.484,10519.223,0.925,4.212,41.606,1745.86,177.71,10113.971,1029.495,91.978,96.148,13.329,65.787,559.328,1492.592,151.93,5494.951,21.265,85.595,4795.321,488.113,78.635,52.237,114.9,-3.103,-1.298,34.033,125.652,12.79,334.343,6.62,3.178,-2.07,-1.121,41.25,152.275,15.5,405.252,8.022,3.852,-0.34,-0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.99,-23.963,456.216,253.268,25.78,4481.956,-4.897,-19.271,3676.515,374.23,13.343,42.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.135,1070.745,-2.07,-1.121,41.25,152.275,15.5,405.252,8.022,3.852,157.928,0.978,1.604,5.895,0.6,15.754,0.311,0.15,-11.98,-0.802,5.614,20.729,2.11,55.155,1.092,0.524
France,2017,0.781,0.257,517.639,33.204,121.289,7.78,1.398,1.205,78.214,9.579,9.532,1700.019,109.046,199.707,12.81,0.0,0.0,0.0,0.0,2.302,3.958,516.29,556.42,28.068,-0.381,-10.533,42948.914,1.081,1.774,25.419,1020.047,65.43,22733.664,1458.23,11.759,52.932,0.529,2.358,447.657,631.391,40.5,6978.927,0.0,0.0,0.0,0.0,7.279,16.249,43.52,-18.288,-30.109,130.309,779.495,50.0,2031.498,8.986,4.73,-2.031,-35.952,1296.689,7654.485,490.99,20215.25,88.241,47.068,-40.13,-7.773,-1.2,-18.444,1017.315,6210.393,398.36,15859.839,71.593,36.927,1.524,13.529,901.527,188.95,12.12,14054.717,0.0,0.0,0.0,0.0,2.178,32.724,26.319,8.43,0.65,6.917,1.7,131.423,10.133,410.313,1.515,0.117,0.955,8674.532,2754.919,-4.609,-17.508,279.374,1444.092,92.63,4355.411,16.647,10.141,11.484,2.367,24.225,149.507,9.59,377.661,1.724,0.879,15.186,8.276,65.318,383.667,24.61,1018.299,4.423,2.371
Germany,2017,1.729,0.534,379.841,31.384,616.283,50.92,7.901,0.807,469.711,-6.068,-54.005,10117.229,835.93,2919.962,241.26,-0.548,-2.528,5548.539,458.444,37.436,21.5,592.0,644.46,19.043,1.215,46.682,47057.949,1.021,0.005,0.16,4265.812,352.46,37045.012,3060.821,54.691,78.722,3.362,28.537,877.385,1041.339,86.04,10618.958,-7.899,-5.469,771.705,63.762,13.351,22.566,302.71,-1.927,-1.377,53.625,243.875,20.15,649.022,3.127,1.379,6.165,46.523,827.313,3534.066,292.0,10012.939,45.309,21.278,-52.46,-8.861,-9.819,-22.501,194.914,923.698,76.32,2359.043,11.842,5.013,1.939,25.628,1347.506,304.511,25.16,16308.822,0.0,0.0,0.0,0.0,3.904,34.657,162.955,51.08,0.16,-0.045,-0.069,618.22,1.936,1972.241,7.926,0.025,4.191,7799.879,3888.133,12.314,69.023,632.398,2610.368,215.68,7653.896,33.467,16.265,3.209,2.615,103.154,469.111,38.76,1248.473,6.014,2.653,32.242,67.32,281.28,1279.163,105.69,3404.32,16.4,7.234
India,2017,-27.967,-2.123,4.037,5.467,18.395,24.91,1.693,0.064,739.8,3.258,149.465,3498.133,4737.157,823.544,1115.24,0.846,27.922,2458.842,3329.753,75.798,55.078,1469.74,1471.33,18.077,3.811,315.771,6351.181,1.006,3.305,251.488,885.411,1199.02,5805.181,7861.351,81.492,91.403,5.53,28.089,535.999,55.376,74.99,395.806,4.18,11.11,204.5,276.933,5.097,6.232,1088.49,5.797,17.783,361.465,100.296,135.82,266.922,9.231,4.203,9.496,64.283,739.391,201.086,272.31,546.0,18.508,8.597,-1.59,-0.108,-1.275,-1.806,95.548,27.625,37.41,70.557,2.543,1.111,2.941,73.934,2588.196,6.491,8.79,1911.242,-0.365,-1.724,347.28,470.285,0.597,30.093,79.512,24.908,0.0,0.368,0.291,18.393,0.0,58.715,1.693,0.0,0.924,1086.497,8600.742,11.388,66.089,643.843,173.461,234.9,475.443,15.965,7.486,86.437,26.401,57.336,15.906,21.54,42.34,1.464,0.667,21.119,23.737,140.062,38.864,52.63,103.428,3.577,1.628
Indonesia,2017,-14.495,-3.987,88.913,23.517,43.289,11.45,4.308,1.195,688.499,4.004,21.793,2140.308,566.109,559.398,147.96,-1.868,-51.213,10174.31,2691.093,55.664,28.77,266.93,265.81,13.796,3.738,70.897,7439.383,0.664,3.914,70.064,841.743,222.64,7032.367,1860.053,83.759,94.529,-1.988,-9.029,445.182,211.078,55.83,1683.116,-3.163,-23.75,2748.783,727.05,21.004,22.624,183.01,-0.238,-0.413,49.586,70.435,18.63,187.472,7.009,2.52,-3.341,0.833,107.655,163.214,43.17,407.016,16.241,5.471,1.12,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,57.3,848.762,71.267,18.85,3208.943,-3.99,-19.791,1800.45,476.217,7.092,43.135,34.474,24.51,13.06,18.761,5.227,92.666,49.376,130.339,9.221,4.913,1.752,1004.957,1967.708,-3.341,0.833,107.655,163.214,43.17,407.016,16.241,5.471,37.743,0.021,0.077,0.113,0.03,0.292,0.011,0.004,-100.0,-0.015,0.0,0.0,0.0,0.0,0.0,0.0
Iran,2017,0.0,0.0,0.0,0.0,0.237,0.02,0.007,0.0,641.675,13.466,1.422,141.786,11.982,8.165,0.69,0.0,0.0,0.0,0.0,0.226,0.4,300.85,305.17,10.327,3.832,110.534,35445.574,2.015,3.686,104.171,3319.918,280.55,34678.988,2930.551,91.932,97.837,4.424,86.849,2050.04,2987.986,252.5,24259.367,7.278,145.082,25306.18,2138.501,82.741,68.441,195.82,11.736,4.574,45.859,203.893,17.23,542.682,5.646,1.531,11.499,6.363,64.78,291.343,24.62,766.582,8.068,2.163,-4.32,-1.436,7.465,1.136,17.768,82.362,6.96,210.26,2.281,0.593,1.865,15.9,868.529,323.768,27.36,10277.837,8.511,213.939,32278.521,2727.699,8.965,28.996,0.078,0.024,0.0,12.11,0.008,0.289,0.0,0.923,0.008,0.0,0.003,3611.262,2995.331,13.172,5.226,47.012,208.982,17.66,556.322,5.787,1.57,1616.1,0.215,0.228,1.065,0.09,2.702,0.029,0.008,103.846,0.429,0.846,3.787,0.32,10.015,0.105,0.028
Italy,2017,1.357,0.209,260.157,15.61,322.812,19.37,6.632,0.847,392.756,-12.392,-15.828,1864.94,111.904,543.797,32.63,0.0,0.0,0.0,0.0,11.171,6.071,329.85,292.09,17.586,1.163,21.189,30716.617,0.883,2.215,33.406,3136.456,188.2,25688.057,1541.387,64.432,83.629,5.971,40.33,715.788,2339.177,140.36,11928.998,-4.296,-2.367,878.784,52.731,48.054,38.836,114.72,-14.69,-17.257,96.335,603.293,36.2,1605.481,12.393,5.227,-3.172,-12.217,301.734,1731.384,103.89,5028.561,35.568,16.371,37.76,11.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.263,8.905,713.695,253.483,15.21,11894.117,10.339,4.52,804.005,48.244,5.207,38.722,77.696,25.57,6.2,-0.844,-0.734,426.138,103.326,1294.839,8.754,2.123,4.215,4867.84,1843.121,-3.172,-12.217,301.734,1731.384,103.89,5028.561,35.568,16.371,10.285,5.702,64.876,406.306,24.38,1081.196,8.347,3.52,0.301,-0.137,47.216,295.647,17.74,786.886,6.073,2.562
Japan,2017,3.42,0.158,37.67,4.771,216.244,27.39,2.628,0.089,553.754,1.475,20.578,11179.029,1415.963,2707.037,342.88,3.588,0.326,74.302,9.411,32.904,26.443,1042.07,1042.07,20.715,1.116,59.072,42275.172,1.11,0.029,1.404,6681.143,846.25,38132.48,4829.954,81.209,90.201,0.489,5.69,1169.865,3386.323,428.92,9236.082,0.0,0.0,0.0,0.0,41.16,21.848,577.05,-0.23,-1.736,210.89,625.994,79.29,1664.974,7.609,3.938,13.272,57.668,524.723,1545.999,195.82,4142.688,18.791,9.799,0.0,0.0,64.458,28.833,74.247,229.508,29.07,586.177,2.79,1.387,-1.096,-24.864,2244.126,587.783,74.45,17717.371,0.0,0.0,0.0,0.0,7.144,41.91,74.44,23.805,0.0,0.566,0.32,187.939,0.0,587.701,2.284,0.0,1.39,8227.141,5354.677,7.485,28.835,450.476,1316.491,166.75,3556.511,16.002,8.413,24.732,27.834,143.818,428.225,54.24,1135.446,5.205,2.686,16.492,2.26,16.557,46.028,5.83,130.72,0.559,0.309
Malaysia,2017,-2.571,-0.116,137.755,4.405,23.768,0.76,0.473,0.371,620.58,10.814,23.558,7549.619,241.405,2153.816,68.87,0.0,0.0,0.0,0.0,42.872,20.312,159.52,160.64,14.071,1.38,16.174,37168.012,1.569,-0.145,-1.614,4150.012,132.7,34692.074,1109.307,82.607,93.339,0.114,0.512,450.442,1943.031,62.13,14086.945,3.765,28.876,24888.533,795.831,38.677,37.901,99.69,34.069,17.84,71.445,839.697,26.85,2234.345,16.714,6.011,26.277,17.788,79.17,873.785,27.94,2475.937,17.393,6.661,-1.12,-0.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.796,-25.684,417.461,53.165,1.7,13055.511,-1.347,-5.215,11949.636,382.099,1.058,35.126,2.442,0.765,0.0,0.658,0.016,23.924,0.0,76.371,0.476,0.0,0.205,5023.797,1188.477,26.277,17.788,79.17,873.785,27.94,2475.937,17.393,6.661,6.452,0.048,0.878,10.32,0.33,27.465,0.205,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,2017,5.631,0.117,17.803,2.187,66.103,8.12,2.467,0.095,531.952,22.208,32.119,1438.895,176.753,251.223,30.86,21.275,15.021,697.027,85.622,9.377,7.707,329.44,329.09,15.009,1.769,39.866,18668.822,1.142,1.678,35.121,2168.932,266.43,17321.303,2127.736,80.96,92.782,3.617,30.035,860.335,1601.28,196.7,7003.749,-12.332,-53.83,3115.327,382.684,59.771,37.516,175.06,2.819,1.78,82.175,259.282,31.85,668.961,9.678,3.583,3.622,4.745,165.528,510.098,62.66,1347.521,19.04,7.218,0.35,0.106,2.987,0.647,27.792,88.571,10.88,226.249,3.306,1.212,-2.419,-27.034,1090.648,316.43,38.87,8878.657,-9.789,-138.151,10364.405,1273.156,11.811,47.559,21.955,8.093,0.0,-2.682,-0.76,65.884,0.0,178.727,2.459,0.0,0.957,2679.03,2293.264,3.753,4.099,137.736,421.526,51.78,1121.272,15.734,6.006,370.32,2.482,3.158,9.687,1.19,25.705,0.362,0.138,2.329,0.48,28.262,86.454,10.62,230.076,3.227,1.232
Netherlands,2017,29.339,0.873,223.605,3.848,267.33,4.6,3.964,0.366,489.917,-10.317,-12.306,6216.711,106.972,1823.655,31.38,0.0,0.0,0.0,0.0,27.042,10.166,119.55,116.04,11.427,0.785,8.192,61149.168,1.315,0.207,2.049,5533.147,95.21,57581.445,990.816,82.049,94.166,3.231,11.361,362.972,3354.99,57.73,21094.199,-14.374,-63.667,22041.801,379.278,49.75,34.496,56.85,-39.291,-0.106,0.162,3.487,0.06,9.397,0.052,0.015,13.687,6.143,61.39,1210.539,20.83,3567.716,17.951,5.834,3.51,2.936,-14.085,-1.484,8.689,197.592,3.4,504.97,2.93,0.826,0.578,2.993,520.871,354.503,6.1,30270.535,0.0,0.0,0.0,0.0,5.257,49.503,14.699,4.6,0.0,-6.198,-0.971,267.33,0.0,854.231,3.964,0.0,1.397,6743.687,1052.206,19.881,7.628,52.701,1012.948,17.43,3062.745,15.021,5.009,37.616,1.578,5.866,127.853,2.2,340.927,1.896,0.558,29.354,6.254,28.127,614.278,10.57,1634.585,9.109,2.673
Nigeria,2017,0.0,0.0,0.0,0.0,0.103,0.02,0.062,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.24,32.24,0.0,-2.801,-13.154,2358.808,0.44,0.0,0.0,126.308,24.44,0.0,0.0,75.806,0.0,0.0,0.0,0.0,126.308,24.44,0.0,10.715,45.686,2439.618,472.056,75.806,0.0,16.12,0.0,0.0,0.0,40.053,7.75,0.0,24.038,0.0,0.0,0.0,0.0,40.311,7.8,0.0,24.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.442,36.532,5673.841,1097.865,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.103,0.0,0.0,0.062,0.0,0.0,166.619,456.42,0.0,0.0,0.0,40.311,7.8,0.0,24.194,0.0,0.0,0.0,0.0,0.155,0.03,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,2017,0.0,0.0,0.0,0.0,7.857,1.7,1.304,0.0,488.493,33.805,21.0,384.144,83.121,50.421,10.91,1.757,0.376,100.726,21.795,8.369,8.833,130.92,130.36,14.971,73.552,398.797,4348.83,0.842,92.717,399.321,414.133,89.61,3835.897,830.01,68.74,88.205,925.673,367.676,407.396,227.378,49.2,1882.782,-1.196,-4.193,1601.421,346.515,37.742,43.294,63.68,-12.649,-12.184,80.382,129.032,27.92,371.485,21.418,8.542,0.124,-0.523,110.988,188.326,40.75,512.932,31.26,11.795,0.56,0.428,53.434,7.139,20.729,37.48,8.11,95.798,6.221,2.203,3.237,10.645,339.493,136.334,29.5,1568.97,0.0,0.0,0.0,0.0,22.63,36.078,3.433,1.7,0.0,102.03,1.734,7.857,0.0,15.864,1.304,0.0,0.365,602.46,940.998,-7.607,-7.662,90.259,150.846,32.64,417.134,25.038,9.592,47.091,0.554,1.753,4.252,0.92,8.103,0.706,0.186,92.012,2.234,4.692,9.705,2.1,21.682,1.611,0.499
